workspace_id,description,status,created_at,updated_at
dopemux-mvp,ConPort database persistence implementation,IN_PROGRESS,2025-11-10 17:46:46.458241+00,2025-11-10 17:46:46.458241+00
/Users/hue/code/dopemux-mvp,Setting up LiteLLM database configuration and connection - BLOCKED: Waiting for PostgreSQL 'litellm' database creation (see Decision #210),BLOCKED,2025-10-20 18:13:22+00,2026-02-06 16:39:55.679709+00
/Users/hue/code/dopemux-mvp,Day 19-20: Feedback & Iteration (12-14 hours),PLANNED,2025-10-20 06:32:21+00,2026-02-06 16:39:55.677471+00
/Users/hue/code/dopemux-mvp,Day 10: Week 2 Integration & Testing (6-7 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.676049+00
/Users/hue/code/dopemux-mvp,Day 9: Notification Batching (3-4 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.675893+00
/Users/hue/code/dopemux-mvp,Day 8: Productivity Indicators Deep Dive (6-7 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.675741+00
/Users/hue/code/dopemux-mvp,Day 7: Desktop Commander Integration (4-5 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.67558+00
/Users/hue/code/dopemux-mvp,Day 6: macOS Focus Mode - AppleScript Implementation (5-6 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.67533+00
/Users/hue/code/dopemux-mvp,Day 16-17: Beta Preparation & Recruitment (8-10 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.676927+00
/Users/hue/code/dopemux-mvp,Day 18: Beta Deployment (6-8 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.677158+00
/Users/hue/code/dopemux-mvp,Day 14-15: Message Triage System (10-12 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.676658+00
/Users/hue/code/dopemux-mvp,Day 13: Slack Status Management (4-5 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.676414+00
/Users/hue/code/dopemux-mvp,Day 11-12: Slack Client Setup (8-10 hours),PLANNED,2025-10-20 06:32:20+00,2026-02-06 16:39:55.676211+00
/Users/hue/code/dopemux-mvp,Day 4: ConPort Integration & Metrics (4-5 hours),PLANNED,2025-10-20 06:32:19+00,2026-02-06 16:39:55.674927+00
/Users/hue/code/dopemux-mvp,Day 3: ShieldCoordinator Core Logic (6-7 hours),PLANNED,2025-10-20 06:32:19+00,2026-02-06 16:39:55.674739+00
/Users/hue/code/dopemux-mvp,Day 5: Productivity Monitoring & False Positive Detection (5-6 hours),PLANNED,2025-10-20 06:32:19+00,2026-02-06 16:39:55.675097+00
/Users/hue/code/dopemux-mvp,Week 2: macOS Integration & Window Management,PLANNED,2025-10-20 06:31:59+00,2026-02-06 16:39:55.673609+00
/Users/hue/code/dopemux-mvp,Week 4: Beta Testing & Iteration,PLANNED,2025-10-20 06:31:59+00,2026-02-06 16:39:55.673899+00
/Users/hue/code/dopemux-mvp,Week 3: Slack Integration & Message Triage,PLANNED,2025-10-20 06:31:59+00,2026-02-06 16:39:55.673746+00
/Users/hue/code/dopemux-mvp,Week 1: Core Infrastructure & ADHD Engine Integration,PLANNED,2025-10-20 06:31:58+00,2026-02-06 16:39:55.673478+00
/Users/hue/code/dopemux-mvp,Document MCP token budgeting best practices for future MCP development (add to docs/best-practices/mcp-token-management.md),PLANNED,2025-10-20 01:10:10+00,2026-02-06 16:39:55.671396+00
/Users/hue/code/dopemux-mvp,"Add token budget monitoring and logging to MCP servers for optimization insights (track truncation frequency, budget usage %)",PLANNED,2025-10-20 01:10:10+00,2026-02-06 16:39:55.671191+00
/Users/hue/code/dopemux-mvp,Create shared MCP response budget utility (services/shared/mcp_response_budget.py) to standardize token management across all MCP servers,PLANNED,2025-10-20 01:10:10+00,2026-02-06 16:39:55.671012+00
/Users/hue/code/dopemux-mvp,Monitor MCP servers for edge cases after token limit fixes deployment,PLANNED,2025-10-20 01:10:09+00,2026-02-06 16:39:55.670807+00
/Users/hue/code/dopemux-mvp,"Test MCP token limit fixes in production: large files (package-lock.json), bulk queries (100 decisions), multi-step Zen analysis",PLANNED,2025-10-20 01:10:09+00,2026-02-06 16:39:55.670657+00
/Users/hue/code/dopemux-mvp,"Restart Claude Code to load all MCP token limit fixes (dope-context, Serena, ConPort, Zen)",PLANNED,2025-10-20 01:10:02+00,2026-02-06 16:39:55.670506+00
/Users/hue/code/dopemux-mvp,Task 5.1: Create Integration Test Suite | Duration: 60m | Complexity: 0.6 | Energy: High | Comprehensive integration test coverage (>90%),PLANNED,2025-10-19 22:04:56+00,2026-02-06 16:39:55.66865+00
/Users/hue/code/dopemux-mvp,Task 4.4: End-to-End Validation | Duration: 60m | Complexity: 0.6 | Energy: Medium | Validate complete Phase 1 integration works end-to-end,PLANNED,2025-10-19 22:04:56+00,2026-02-06 16:39:55.668308+00
