component_id	name	subsystem_id	security_notes	threat_model_refs
COMP-5-3-extensibility	**5.3 Extensibility**			
COMP-adhd-accommodation-f	**ADHD Accommodation Features**			
COMP-ai-llm-services	**AI/LLM Services**			
COMP-application-session-	**Application Session Management**		& Privacy Layer        # Enforces access controls and privacy	
COMP-container-health-mon	**Container Health Monitoring**			
COMP-core-lifecycle-comma	**Core Lifecycle Commands**			
COMP-current-status	**Current Status**:			
COMP-developer-role	**Developer Role**			
COMP-developer-role-imple	**Developer Role** (Implementation Focus)			
COMP-development-environm	**Development Environment**			
COMP-docker-configuration	**Docker Configuration:**			
COMP-exa-web-research	**EXA (Web Research)**			
COMP-embedding-configurat	**Embedding Configuration:**			
COMP-environment-health	**Environment Health**		**: Reports if keys are set without exposing values	
COMP-error-message-patter	**Error Message Patterns**			
COMP-example-scenarios	**Example Scenarios**			
COMP-for-developers	**For Developers**			
COMP-immediate-actions-re	**Immediate Actions Required**:			
COMP-immediate-enhancemen	**Immediate Enhancements**			
COMP-impact	**Impact**:			
COMP-integration-layer	**Integration Layer**			
COMP-integration-status	**Integration Status**			
COMP-mcp-ecosystem	**MCP Ecosystem**			
COMP-metamcp-core	**MetaMCP Core**			
COMP-next-restart-will-pr	**Next Restart Will Preserve**:			
COMP-optimization-tactics	**Optimization Tactics**			
COMP-phase-4-implementati	**Phase 4: Implementation**			
COMP-plugin-system	**Plugin System**			
COMP-prerequisites	**Prerequisites**			
COMP-production-readiness	**Production Readiness** ✅ CONFIRMED			
COMP-project-knowledge-ba	**Project Knowledge Base**		authentication	
COMP-status-bar-script-ar	**Status Bar Script Architecture**			
COMP-token-efficiency	**Token Efficiency**			
COMP-universal-knowledge-	**Universal Knowledge Base**		_standards.json         # Current security best practices	
COMP-voyageai-configurati	**VoyageAI Configuration**:			
COMP-impact-metrics	**📊 IMPACT METRICS**			
COMP-sc-design	/sc:design			
COMP-sc-document	/sc:document			
COMP-todo-add	/todo-add		authentication	
COMP-todo-block	/todo-block			
COMP-todo-search	/todo-search		authentication	
COMP-1-1-goals	1.1 Goals			
COMP-1-1-response-time-de	1.1 Response Time Degradation			
COMP-1-3-assumptions	1.3 Assumptions			
COMP-1-4-task-scheduler-c	1.4 Task Scheduler Component			
COMP-10-morphllm-fast-app	10. **MorphLLM Fast Apply** (Port 3011)			
COMP-11-security-posture-	11) Security posture (Phase 1)			
COMP-16-leantime-api-webh	16. Leantime API Webhook Reliability			
COMP-4-1-default-cc-defau	4.1 `default` (cc‑default)			
COMP-4-2-top-level-decomp	4.2 Top-level Decomposition			
COMP-4-4-longcontext	4.4 `longContext`			
COMP-5-layer-architecture	5-Layer Architecture:			
COMP-5-1-performance-targ	5.1 Performance Targets			
COMP-6-1-high-level-yaml	6.1 High‑level YAML			
COMP-6-5-quality-gate-api	6.5 Quality gate API (language‑agnostic)			
COMP-adhd-accommodation	ADHD Accommodation:			
COMP-adhd-specific-consid	ADHD-Specific Considerations			
COMP-adr-default-embeddin	ADR: Default Embeddings/Index Provider (External)			
COMP-ai-assistant-windows	AI Assistant Windows			
COMP-api-endpoints	API Endpoints			
COMP-api-functionality	API Functionality			
COMP-api-security	API Security		= HTTPBearer(); import HTTPBearer	
COMP-api-security-measure	API Security Measures		oauth; encryption; modules (HSM)"	
COMP-api-specification	API Specification			
COMP-api-token-problems	API Token Problems		Authorization	
COMP-api-usage-tracking	API Usage Tracking			
COMP-api-access	API access			
COMP-acceptance-criteria	Acceptance Criteria			
COMP-access-control	Access Control			
COMP-activate-deep-focus-	Activate deep focus mode			
COMP-adaptive-ui-based-on	Adaptive UI Based on Energy Levels			
COMP-add-to-communication	Add to communication_simulator_test.py			
COMP-after-full-implement	After Full Implementation:			
COMP-after-any-interrupti	After any interruption (meeting, break, distraction)			
COMP-after-restart	After restart			
COMP-an-open-source-revol	An open-source revolution meets terminal-based productivity			
COMP-application-layer	Application Layer		authentication	
COMP-assumptions-new-upda	Assumptions (new/updated)		OAuth	
COMP-authentication-issue	Authentication Issues			
COMP-authentication-metho	Authentication Methods			
COMP-auto-save-overhead	Auto-Save Overhead			
COMP-auto-save-validation	Auto-Save Validation			
COMP-automatic-task-break	Automatic Task Breakdown		authentication; JWT	
COMP-automation-pipeline	Automation Pipeline:			
COMP-b-tui-dashboard-mock	B. **TUI Dashboard Mockup**			
COMP-base-provider-interf	Base Provider Interface			
COMP-base-urls	Base URLs:			
COMP-benefits	Benefits			
COMP-brain-dump-mode	Brain Dump Mode:			
COMP-break-into	Break into:		JWT	
COMP-correct-approach	CORRECT approach			
COMP-cache-performance-te	Cache performance test			
COMP-check-active-work	Check active work			
COMP-check-recent-progres	Check recent progress			
COMP-check-token-tracking	Check token tracking		Authorization	
COMP-check-token-validity	Check token validity:		Authorization	
COMP-check-where-you-left	Check where you left off			
COMP-circuit-breaker-patt	Circuit Breaker Pattern			
COMP-claude-context-magic	Claude-Context Magic		authentication	
COMP-cognitive-enhancemen	Cognitive Enhancement			
COMP-cognitive-load-reduc	Cognitive Load Reduction			
COMP-collect-instance-inf	Collect instance info			
COMP-common-api-setting-n	Common API Setting Names:		Authentication	
COMP-common-issues	Common Issues			
COMP-component-tags	Component Tags			
COMP-concurrency-testing	Concurrency Testing			
COMP-connected-to-metamcp	Connected to MetaMCP:			
COMP-containerized-kubern	Containerized Kubernetes Deployment		authentication	
COMP-context-aware-assist	Context-Aware Assistance			
COMP-context7-documentati	Context7 (Documentation Authority)			
COMP-context7-agent-the-k	Context7 Agent: "The Know-It-All (But Helpful)"			
COMP-context7-capabilitie	Context7 Capabilities:			
COMP-context7-first-philo	Context7-First Philosophy (CRITICAL INSIGHT)			
COMP-conversational-inter	Conversational Interface			
COMP-cost-monitoring	Cost Monitoring			
COMP-create-linked-progre	Create linked progress			
COMP-current-problem	Current Problem		authentication	
COMP-database-infrastruct	Database Infrastructure ✅ READY			
COMP-datastores	Datastores ✅			
COMP-debug-instance-infor	Debug Instance Information			
COMP-debugging-categories	Debugging Categories			
COMP-deployment-method	Deployment Method			
COMP-document-queries	Document Queries		policy for API access"	
COMP-document-types-creat	Document Types Created			
COMP-dopemux-specific-ada	Dopemux-Specific Adaptations Needed			
COMP-emotional-regulation	Emotional Regulation			
COMP-enhancedlspwrapper	EnhancedLSPWrapper			
COMP-enterprise-deploymen	Enterprise Deployment Diagram		Authentication	
COMP-error-handling-ensur	Error handling ensures production reliability			
COMP-evidence-based-found	Evidence-Based Foundation:			
COMP-example-prompts	Example Prompts			
COMP-example-usage	Example Usage		authentication; OAuth	
COMP-expected-performance	Expected Performance Improvements			
COMP-expected-50ms	Expected: < 50ms			
COMP-external-dependencie	External Dependencies			
COMP-feature-types-suppor	Feature Types Supported			
COMP-find-decisions-progr	Find decisions/progress by keywords		authentication	
COMP-find-progress-on-spe	Find progress on specific features			
COMP-first-request-databa	First request (database)			
COMP-focus-mode-interface	Focus Mode Interface		OAuth	
COMP-follow-interactive-p	Follow interactive prompts:			
COMP-functional-validatio	Functional Validation			
COMP-get-api-active-work-	GET /api/active-work/{workspace_id}		authentication	
COMP-get-api-context-work	GET /api/context/{workspace_id}			
COMP-get-api-decisions	GET /api/decisions			
COMP-get-api-progress	GET /api/progress		authentication	
COMP-get-api-recent-activ	GET /api/recent-activity/{workspace_id}		authentication	
COMP-get-api-search-works	GET /api/search/{workspace_id}		authentication; JWT	
COMP-gemini-provider	Gemini Provider			
COMP-get-completion-stati	Get completion statistics			
COMP-get-dashboard	Get dashboard			
COMP-get-initial-timestam	Get initial timestamp			
COMP-get-updated-timestam	Get updated timestamp			
COMP-getting-started-tuto	Getting Started Tutorial ✅			
COMP-goals	Goals			
COMP-health-check-api	Health Check API			
COMP-health-indicators	Health Indicators			
COMP-health-monitoring	Health Monitoring			
COMP-hook-capabilities	Hook Capabilities:			
COMP-immediate-high-prior	IMMEDIATE (High Priority)			
COMP-incorrect-approach-n	INCORRECT approach (never do this)			
COMP-immediate-day-1	Immediate (Day 1)			
COMP-immediate-actions-th	Immediate Actions (This Week)			
COMP-import-namespace-con	Import namespace configurations		Authorization	
COMP-initialize-client	Initialize client			
COMP-interface-contract	Interface Contract			
COMP-issue-health-check-t	Issue: "Health Check Timeout"			
COMP-kubernetes-deploymen	Kubernetes Deployment			
COMP-later	Later			
COMP-layer-4-user-interfa	Layer 4: User Interface			
COMP-leantime-api-trouble	Leantime API Troubleshooting Guide		authentication	
COMP-leantime-bridge-src-	Leantime Bridge (`src/integrations/leantime_bridge.py`)			
COMP-leantime-bridge-api-	Leantime Bridge API (Port 3015)			
COMP-leantime	Leantime ✅			
COMP-leantimemcpclient	LeantimeMCPClient			
COMP-letta-api-endpoint	Letta API endpoint			
COMP-list-available-templ	List Available Templates			
COMP-log-task-progress	Log Task Progress		authentication	
COMP-log-initial-progress	Log initial progress			
COMP-log-progress	Log progress			
COMP-log-test-progress	Log test progress			
COMP-long-term-1-year	Long Term (1 year)			
COMP-lower-priority-enhan	Lower Priority (Enhancement Features)			
COMP-mas-liveness-check	MAS liveness check			
COMP-medium-term-evolutio	Medium-term Evolution (Phase 2-3)			
COMP-memory-first-workflo	Memory-First Workflow:			
COMP-message-routing	Message Routing			
COMP-metamcp	MetaMCP ✅			
COMP-migration-support	Migration Support			
COMP-monitoring-dashboard	Monitoring Dashboard			
COMP-negative	Negative			
COMP-negative-consequence	Negative Consequences:			
COMP-neutral	Neutral			
COMP-normal-operation	Normal Operation			
COMP-openapi-specificatio	OpenAPI Specifications ✅		Authentication; OAuth	
COMP-operational-readines	Operational Readiness ✅			
COMP-orchestrator-dopemux	Orchestrator ("Dopemux"):			
COMP-post-api-context-wor	POST /api/context/{workspace_id}			
COMP-post-api-decisions	POST /api/decisions			
COMP-post-api-progress	POST /api/progress		authentication	
COMP-put-api-progress-pro	PUT /api/progress/{progress_id}			
COMP-parse-prd	Parse PRD			
COMP-parse-prd-to-tasks	Parse PRD to Tasks			
COMP-pattern-matching	Pattern Matching			
COMP-performance-sla	Performance SLA			
COMP-performance-validati	Performance Validation API			
COMP-performance-check	Performance check			
COMP-personalized-accommo	Personalized Accommodations			
COMP-plugin-architectures	Plugin architectures enable extensibility			
COMP-port-allocation	Port Allocation			
COMP-positive	Positive			
COMP-primary-frameworks	Primary Frameworks			
COMP-primary-goals	Primary Goals			
COMP-primary-stakeholders	Primary Stakeholders			
COMP-privacy-protection	Privacy Protection			
COMP-progress-tracking	Progress Tracking		authentication	
COMP-progressive-task-dis	Progressive Task Disclosure			
COMP-project-specific-bin	Project-specific bindings			
COMP-project-specific-set	Project-specific settings		authentication	
COMP-pull-request-gates	Pull Request Gates			
COMP-quality-assurance	Quality Assurance			
COMP-quick-start	Quick Start			
COMP-quick-catch-up-after	Quick catch-up after interruption			
COMP-quick-start-commands	Quick start commands			
COMP-real-time-events	Real-Time Events		Authorization; authentication	
COMP-request-limits	Request Limits			
COMP-required-api-keys	Required API Keys			
COMP-required-tags	Required Tags		`: Security-related decisions	
COMP-research-validated-m	Research-Validated Market Need			
COMP-role-specific-instru	Role-Specific Instructions			
COMP-solid	SOLID			
COMP-safety-first-approac	Safety-First Approach:			
COMP-second-request-redis	Second request (Redis cache)			
COMP-security-considerati	Security Considerations		Encryption	
COMP-security-features	Security Features		Authentication; JWT	
COMP-security-layers	Security Layers		Authentication; Encryption; Authorization	
COMP-security-measures	Security Measures		encryption; JWT; **: Rate limiting, input validation, JWT authentication	
COMP-see-active-work	See active work			
COMP-see-what-needs-your-	See what needs your attention (priority-sorted)			
COMP-self-check-validatio	Self-Check Validation			
COMP-send-to-capture-daem	Send to capture daemon (non-blocking)			
COMP-service-level-integr	Service-Level Integration:			
COMP-service-to-service-a	Service-to-Service Authentication			
COMP-set-up-api-specific-	Set up API-specific tasks		authentication	
COMP-short-term-weeks-2-4	Short-term (Weeks 2-4)			
COMP-should-return-someth	Should return something other than "Invalid API Key"			
COMP-smart-notification-b	Smart Notification Batching			
COMP-standard-error-respo	Standard error response format			
COMP-start-working-sessio	Start working session			
COMP-state-dependent-need	State-Dependent Needs			
COMP-steps	Steps:			
COMP-story-c06-perf-cost-	Story C06 — Perf/Cost: Bulk Sync			
COMP-story-g01-openapi-st	Story G01 — OpenAPI Stub			
COMP-story-g06-accessibil	Story G06 — Accessibility: API Docs			
COMP-story-g07-perf-cost-	Story G07 — Perf/Cost: API Rate Limits			
COMP-supported-clients	Supported Clients			
COMP-todo	TODO			
COMP-task-lifecycle-event	Task Lifecycle Events			
COMP-task-orchestrator-ap	Task-Orchestrator API (Port 3014)			
COMP-task-specific-prompt	Task-specific prompt templates			
COMP-temporarily-disabled	Temporarily Disabled (By Design)			
COMP-terminal-multiplexin	Terminal Multiplexing Interface			
COMP-test-4-progress-trac	Test 4: Progress Tracking			
COMP-test-api-response-ti	Test API response times			
COMP-test-categories-gene	Test Categories Generated			
COMP-test-prd-parsing-end	Test PRD parsing endpoint			
COMP-test-basic-api-conne	Test basic API connectivity		Authorization	
COMP-test-dashboard-endpo	Test dashboard endpoint			
COMP-test-endpoint	Test endpoint			
COMP-try-different-authen	Try different authentication headers:			
COMP-ui-layout-specificat	UI Layout Specifications ✅			
COMP-ui-preferences	UI preferences			
COMP-unit-tests	Unit Tests ✅			
COMP-universal-tagging-ru	Universal Tagging Rules			
COMP-unload	Unload			
COMP-update-task-on-insta	Update task on Instance B			
COMP-update-to-100-should	Update to 100% (should auto-complete)			
COMP-user-interface	User Interface			
COMP-validation	Validation			
COMP-verify-auto-completi	Verify auto-completion worked			
COMP-verify-namespace-map	Verify namespace mapping		Authorization	
COMP-verify-recovery	Verify recovery			
COMP-verify-shared-databa	Verify shared database access			
COMP-verify-task-visible-	Verify task visible on Instance B			
COMP-verify-update-reflec	Verify update reflected immediately			
COMP-via-python-api	Via Python API			
COMP-voyage-ai-limits	Voyage AI Limits			
COMP-weak-dependencies	Weak Dependencies			
COMP-week-1-current	Week 1 (CURRENT)			
COMP-week-1-deliverables	Week 1 Deliverables			
COMP-week-12-production-r	Week 12: Production Readiness			
COMP-week-2	Week 2			
COMP-what-you-ll-learn	What You'll Learn			
COMP-why-leantime	Why Leantime?			
COMP-your-api-keys	Your API keys			
COMP-your-first-ai-intera	Your First AI Interaction			
COMP-zed-editor-agent-cli	Zed Editor (Agent Client Protocol)			
COMP-init-voyage-api-key-	`__init__(voyage_api_key, milvus_host, milvus_port)`			
COMP-dopemux-task-descrip	`dopemux task [description]`		authentication	
COMP-dopemux-attention-co	`dopemux:attention:context_switch`			
COMP-dopemux-attention-st	`dopemux:attention:state`			
COMP-dopemux-code-analysi	`dopemux:code:analysis`			
COMP-dopemux-code-changes	`dopemux:code:changes`			
COMP-dopemux-decisions-lo	`dopemux:decisions:logged`			
COMP-dopemux-health-statu	`dopemux:health:status`			
COMP-dopemux-tasks-depend	`dopemux:tasks:dependencies`			
COMP-dopemux-tasks-lifecy	`dopemux:tasks:lifecycle`			
COMP-adhd-personalization	adhd-personalization/src/workflow_adapter.py			
COMP-backend-architect	backend-architect		, fault tolerance	
COMP-claude-flow-compatib	claude_flow_compatibility.py			
COMP-config-conport-rag-i	config/conport/rag-integration.yaml			
COMP-dopemux-adhd-config-	dopemux_adhd_config.yaml			
COMP-frontend-architect	frontend-architect			
COMP-letta-config-py	letta_config.py			
COMP-milvus-yaml-tls-sett	milvus.yaml TLS settings			
COMP-optimization-src-cac	optimization/src/cache_warmer.py			
COMP-scripts-benchmark-ra	scripts/benchmark_rag.py		authentication	
COMP-scripts-check-memory	scripts/check_memory_health.py			
COMP-scripts-health-monit	scripts/health_monitor.py			
COMP-src-conport-tools-en	src/conport/tools/enhanced_tools.py			
COMP-src-dopemux-capture-	src/dopemux/capture/privacy.py		JWT	
COMP-src-rag-ingestion-py	src/rag/ingestion.py			
COMP-src-rag-memory-integ	src/rag/memory_integration.py			
COMP-src-rag-memory-logge	src/rag/memory_logger.py			
COMP-test-integration-py	test_integration.py		Authentication; authentication; JWT	
COMP-tmux-interface-sessi	tmux Interface (Session Multiplexing)			
COMP-zen-mcp	zen-mcp			
COMP-config-dopemux-confi	~/.config/dopemux/config.yaml			
COMP-remember	✨ Remember			
COMP-metamcp-endpoint	🌐 **MetaMCP Endpoint**		OAuth	
COMP-runbook-metadata	📝 Runbook Metadata			
COMP-authentication	🔐 Authentication		authentication; Authorization; OAuth	
COMP-security-notes	🔐 Security Notes			
COMP-security	🔒 Security			
COMP-available-http-endpo	🔗 **Available HTTP Endpoints**			
COMP-references	🔗 References			
COMP-roadmap	🗺️ Roadmap			
COMP-credits	🙏 Credits			
COMP-getting-started	🚀 Getting Started			
COMP-navigation-intellige	🚀 Navigation Intelligence API			
COMP-configuration	🛠️ **Configuration**		Authentication; OAuth	
COMP-contributing	🧑‍💻 Contributing			
COMP-navigation-tips	🧭 Navigation Tips			
COMP-1-zen-default-quick-	1. **zen** (Default Quick Consultation)	SUB-1-AGENT-ORCHEST		
COMP-1-cli-interface-prim	1. CLI Interface (Primary)	SUB-1-AGENT-ORCHEST		
COMP-1-cli-interface-src-	1. CLI Interface (`src/dopemux/cli.py`)	SUB-1-AGENT-ORCHEST		
COMP-1-chat-window	1. Chat Window	SUB-1-AGENT-ORCHEST		
COMP-1-health-endpoint-mi	1. Health Endpoint Mismatch	SUB-1-AGENT-ORCHEST		
