src/dopemux/cli.py:19:import signal
src/dopemux/cli.py:51:from .adhd import AttentionMonitor, ContextManager, TaskDecomposer
src/dopemux/cli.py:142:    "focused": {
src/dopemux/cli.py:145:        "attention_mode": "focused",
src/dopemux/cli.py:147:    "hyperfocus": {
src/dopemux/cli.py:150:        "attention_mode": "hyperfocused",
src/dopemux/cli.py:287:        "adhd_config": {
src/dopemux/cli.py:527:        dopemux init                    # Auto-detect and prompt
src/dopemux/cli.py:1342:                    branch_name = click.prompt(
src/dopemux/cli.py:1753:            last_focus_context=context.get('current_goal', 'New session') if context else 'New session'
src/dopemux/cli.py:1988:                orphan.get('last_focus_context', 'N/A')[:40] or "N/A",
src/dopemux/cli.py:2016:@click.option("--restore-context", "-r", is_flag=True, help="Restore working directory and focus context")
src/dopemux/cli.py:2023:    the last working directory and focus context.
src/dopemux/cli.py:2066:    if state.last_focus_context:
src/dopemux/cli.py:2067:        console.logger.info(f"   Last focus: [dim]{state.last_focus_context}[/dim]")
src/dopemux/cli.py:2073:        if state.last_focus_context:
src/dopemux/cli.py:2074:            console.logger.info(f"   Focus context: {state.last_focus_context}")
src/dopemux/cli.py:2106:        console.logger.info(f"   You were working on: {state.last_focus_context or 'N/A'}")
src/dopemux/cli.py:2260:        table.add_row("Focus Score", f"{metrics.get('focus_score', 0):.1%}", "🎯")
src/dopemux/cli.py:2512:    Automatic confirmation responses for Claude Code prompts with
src/dopemux/cli.py:2535:    Begins automatic confirmation of Claude Code prompts with current
src/dopemux/cli.py:2580:                "[blue]🎯 Monitoring for Claude Code confirmation prompts[/blue]"
src/dopemux/cli.py:2766:    type=click.Choice(["basic", "detailed", "adhd"]),
src/dopemux/cli.py:2768:    help="Extraction mode: basic (key-value), detailed (all patterns), adhd (ADHD-specific)"
src/dopemux/cli.py:2779:@click.option("--adhd-profile", "-p", is_flag=True, help="Extract ADHD accommodation profile")
src/dopemux/cli.py:2789:    adhd_profile: bool
src/dopemux/cli.py:2811:            adhd_profile,
src/dopemux/cli.py:2823:    adhd_profile: bool,
src/dopemux/cli.py:2880:            elif mode == "adhd":
src/dopemux/cli.py:2881:                adhd_keywords = ['adhd', 'focus', 'break', 'attention', 'cognitive', 'accommodation']
src/dopemux/cli.py:2882:                adhd_types = [
src/dopemux/cli.py:2885:                    if any(keyword in k.lower() for keyword in adhd_keywords)
src/dopemux/cli.py:2887:                filtered_entities = {k: v for k, v in filtered_entities.items() if k in adhd_types}
src/dopemux/cli.py:2904:            if adhd_profile and results.get('metadata', {}).get('adhd_documents'):
src/dopemux/cli.py:2906:                from adhd_entities import ADHDEntityExtractor
src/dopemux/cli.py:2910:                    if doc_info['filename'] in results['metadata']['adhd_documents']:
src/dopemux/cli.py:2911:                        output_data['adhd_profile'] = {
src/dopemux/cli.py:2998:    "--adhd/--no-adhd",
src/dopemux/cli.py:3044:    type=click.Choice(["executive", "adhd", "technical", "all"]),
src/dopemux/cli.py:3045:    default=["executive", "adhd"],
src/dopemux/cli.py:3059:    adhd: bool,
src/dopemux/cli.py:3089:            adhd,
src/dopemux/cli.py:3108:    adhd: bool,
src/dopemux/cli.py:3146:        synthesis_types_list = ["executive", "adhd", "technical"]
src/dopemux/cli.py:3151:        enable_adhd_extraction=adhd,
src/dopemux/cli.py:3195:                        f"• ADHD extraction: {'✅' if adhd else '❌'}\n"
src/dopemux/cli.py:3843:                            os.kill(int(pid), signal.SIGTERM)
src/dopemux/cli.py:4030:        "focused": "🎯",
src/dopemux/cli.py:4032:        "hyperfocus": "🔥",
src/dopemux/cli.py:4507:    • Decision extraction (conclusions, agreements, next steps)
src/dopemux/cli.py:5460:        if p.adhd_config:
src/dopemux/cli.py:5462:            console.logger.info(f"  Energy preference: {p.adhd_config.energy_preference}")
src/dopemux/cli.py:5463:            console.logger.info(f"  Attention mode: {p.adhd_config.attention_mode}")
src/dopemux/cli.py:5464:            console.logger.info(f"  Session duration: {p.adhd_config.session_duration} minutes")
src/dopemux/cli.py:5570:            if p.adhd_config:
src/dopemux/adhd/task_decomposer.py:85:    The original TaskDecomposer class lived under ``dopemux.adhd`` and stored
docs/planes/pm/PM_PHASE0_ACTION_ITEMS.md:34:  - File: `src/dopemux/adhd/task_decomposer.py:40-81`
docs/planes/pm/PM_PHASE0_ACTION_ITEMS.md:95:  - File: `src/dopemux/adhd/task_decomposer.py`
docs/planes/pm/PM_PHASE0_ACTION_ITEMS.md:270:  - Category: `adhd_attention_state`
services/adhd_engine/integration_bridge_connector.py:30:        from integrations.adhd_engine import ADHDEngineIntegrationManager
services/adhd_engine/integration_bridge_connector.py:63:        attention_state: focused/scattered/transitioning
src/dopemux/adhd/attention_monitor.py:36:    focus_score: float  # Calculated focus score (0-1)
src/dopemux/adhd/attention_monitor.py:43:    FOCUSED = "focused"
src/dopemux/adhd/attention_monitor.py:46:    HYPERFOCUS = "hyperfocus"
src/dopemux/adhd/attention_monitor.py:85:        self._focus_session_start: Optional[datetime] = None
src/dopemux/adhd/attention_monitor.py:92:            # Check if config has focus_threshold (it might not, default 0.7)
src/dopemux/adhd/attention_monitor.py:93:            self.focus_threshold = getattr(config, 'focus_threshold', 0.7)
src/dopemux/adhd/attention_monitor.py:94:            self.hyperfocus_duration = getattr(config, 'hyperfocus_duration', 45)
src/dopemux/adhd/attention_monitor.py:99:            self.focus_threshold = 0.7  # focus score threshold
src/dopemux/adhd/attention_monitor.py:100:            self.hyperfocus_duration = 45  # minutes for hyperfocus detection
src/dopemux/adhd/attention_monitor.py:134:            "focus_score": latest_metrics.focus_score,
src/dopemux/adhd/attention_monitor.py:154:        avg_focus_score = sum(m.focus_score for m in metrics_list) / total_samples
src/dopemux/adhd/attention_monitor.py:170:            "average_focus_score": avg_focus_score,
src/dopemux/adhd/attention_monitor.py:223:        # Calculate focus score
src/dopemux/adhd/attention_monitor.py:224:        focus_score = self._calculate_focus_score(
src/dopemux/adhd/attention_monitor.py:230:            keystroke_rate, error_rate, context_switches, pause_duration, focus_score
src/dopemux/adhd/attention_monitor.py:240:            focus_score=focus_score,
src/dopemux/adhd/attention_monitor.py:284:    def _calculate_focus_score(
src/dopemux/adhd/attention_monitor.py:291:        """Calculate normalized focus score (0-1)."""
src/dopemux/adhd/attention_monitor.py:307:        focus_score = activity_score - error_penalty - switch_penalty - pause_penalty
src/dopemux/adhd/attention_monitor.py:308:        return max(0, min(1, focus_score))
src/dopemux/adhd/attention_monitor.py:316:        focus_score: float,
src/dopemux/adhd/attention_monitor.py:323:        # Check for hyperfocus (sustained high activity)
src/dopemux/adhd/attention_monitor.py:325:            focus_score > 0.8
src/dopemux/adhd/attention_monitor.py:327:            and self._state_duration > self.hyperfocus_duration * 60
src/dopemux/adhd/attention_monitor.py:335:        # Check for focused state (high focus score, low errors)
src/dopemux/adhd/attention_monitor.py:336:        if focus_score > self.focus_threshold and error_rate < 2:
src/dopemux/adhd/attention_monitor.py:349:            # Track focus sessions
src/dopemux/adhd/attention_monitor.py:351:                self._focus_session_start = timestamp
src/dopemux/adhd/attention_monitor.py:352:            elif self._focus_session_start:
src/dopemux/adhd/attention_monitor.py:354:                focus_duration = (
src/dopemux/adhd/attention_monitor.py:355:                    timestamp - self._focus_session_start
src/dopemux/adhd/attention_monitor.py:357:                self._log_focus_session(focus_duration)
src/dopemux/adhd/attention_monitor.py:358:                self._focus_session_start = None
src/dopemux/adhd/attention_monitor.py:365:    def _log_focus_session(self, duration: float) -> None:
src/dopemux/adhd/attention_monitor.py:366:        """Log completed focus session."""
src/dopemux/adhd/attention_monitor.py:374:            log_file = self.data_dir / "focus_sessions.jsonl"
src/dopemux/adhd/attention_monitor.py:379:        """Calculate quality score for completed focus session."""
src/dopemux/adhd/attention_monitor.py:383:        # Average focus score during session
src/dopemux/adhd/attention_monitor.py:385:        avg_focus = sum(m.focus_score for m in recent_metrics) / len(recent_metrics)
src/dopemux/adhd/attention_monitor.py:386:        return avg_focus
