specimen_id,excerpt,location,context_tags,tone_flags
S0001,"""text"": ""````\n# To extract a ripped design spec from `.md` files using the instructions provided, do the following:\n\n# 1. Save the output from your earlier",dopemux_voice_input/conversations/684aca76-5124-8006-92f4-2d4836e386ed__Dopemux Merge Plan.json:L179-L179,naming,forensic|punitive|cyberpunk|procedural|witty
S0002,"""text"": ""fileciteturn0file0\n\nSkip to content\nChat history\n\nYou said:\nhere is a high level research rundown. using this, kickoff the project\nChatGPT said:\nYou said:\nGot it. I’ll design a pipeline and",dopemux_voice_input/conversations/68a07f15-b7d8-832f-91bd-5c72a113f277__Process chatlog extract.json:L263-L263,roast,forensic|punitive|procedural|witty|kinky-coded
S0003,"""text"": ""fileciteturn1file0\n\nSkip to content\nChat history\n\nYou said:\nhere is a high level research rundown. using this, kickoff the project\nChatGPT said:\nYou said:}Got it. I’ll design a pipeline and",dopemux_voice_input/conversations/68a08688-6224-8327-8dae-8604b0a1daaf__Explain assistant usage.json:L1863-L1863,roast,forensic|punitive|procedural|witty|kinky-coded
S0004,"""given this chat history, how can I write the best prompt so that a copilot or codex agent can easily implement all this? '''Skip to",dopemux_voice_input/conversations/68544043-adf4-8006-a84d-484f1412d45c__Dopemux Agents Implementation.json:L98-L98,tagline,forensic|punitive|cyberpunk|procedural
S0005,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-CEcUT8Wv4So6PVyQocxfep】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\nNO MERCY. THIS FILE IS NON-NEGOTIABLE.☠️\\033[1;33m║\n╚════════════════════════════════════════════════════════════════════════════════════════╝\n\n\\033[1;34m═══════════════ SYSTEM/BRAND METADATA (YAML, v1.4.0) ═══════════════\\033[0m\n\nproject: dopemux\nversion: \""1.4.0\""\nbrand:\n name: \""dopemux\""\n alt_names: [\""dpmx\"", \""💊dopemux\"", \""dømux\""]\n",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L2735-L2735,naming,forensic|punitive|procedural|kinky-coded
S0006,"""text"": ""<<<ARTEFACT_BEGIN label=\""system-brerakdown_chunk_003\"" type=\""markdown\"">>>\n---\n\n## 2. Architecture & Design Rationale\n\n* **Modular CLI + API Split**\n\n * *FastAPI* handles `/generate`, `/feedback`, `/lint`, `/refine` (API for apps, bots,",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L892-L892,naming,forensic|punitive|procedural|witty|kinky-coded
S0007,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.txt†file-19J8oFY2p5iV3zf9RJJtrX】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.txt\nCitation Marker: fileciteturn4file0\nContent Snippet:\n[L1] ☠️\\033[1;33m║\n[L2] ╚════════════════════════════════════════════════════════════════════════════════════════╝\n[L3] \n[L4] \\033[1;34m═════════════════════════ CANONICAL SCHEMA & MANIFEST (v1.4.0) ═══════════════════════\\033[0m\n[L5] \n[L6] schema:\n[L7] version: \""1.4.0\""\n[L8] fields_required:\n[L9] -",dopemux_voice_input/conversations/68a08688-6224-8327-8dae-8604b0a1daaf__Explain assistant usage.json:L6463-L6463,naming,forensic|punitive|procedural
S0008,"""# LLM Onboarding Dossier — Hue / “DJ Dom” / “the Architect” \n*(workflows, interests, tone, style, ops, filth, constraints — technical & non-technical)*\n\n## Quick-Start Cheat",dopemux_voice_input/conversations/68b84f2a-5e1c-8332-9a7a-6797199975e4__Hue DJ Dom profile.json:L334-L334,instruction,forensic|procedural|witty|kinky-coded
S0009,"""result"": ""# 【0†Skip to content.md†file-YZCpTA5cebBcKxBG4UVhSA】\nContent source: Source.file\nTitle: Skip to content.md\nCitation Marker: fileciteturn2file0\nContent Snippet:\n[L1] Skip to content\n[L2] Chat history\n[L3] \n[L4] You said:\n[L5] here is a high",dopemux_voice_input/conversations/68a08688-6224-8327-8dae-8604b0a1daaf__Explain assistant usage.json:L2072-L2072,naming,forensic|punitive|procedural
S0010,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-CEcUT8Wv4So6PVyQocxfep】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\nNO MERCY. THIS FILE IS NON-NEGOTIABLE.☠️\\033[1;33m║\n╚════════════════════════════════════════════════════════════════════════════════════════╝\n\n\\033[1;34m═══════════════ SYSTEM/BRAND METADATA (YAML, v1.4.0) ═══════════════\\033[0m\n\nproject: dopemux\nversion: \""1.4.0\""\nbrand:\n name: \""dopemux\""\n alt_names: [\""dpmx\"", \""💊dopemux\"", \""dømux\""]\n",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L3323-L3323,naming,forensic|punitive|procedural
S0011,"""Here’s a compact-but-complete “handoff dossier” another LLM can ingest to work with Hue ⟂ DJ Dom ⟂ “The Architect.” It’s split into identity, voice, workflows,",dopemux_voice_input/conversations/68b84f27-f4ac-832f-9202-d784f247e51c__Hue DJ Dom Architect profile.json:L597-L597,roast,forensic|punitive|procedural|kinky-coded
S0012,"""Terminal ritual maximum: \n**Merged and updated metafile, schema, and design-patterns blocks, v1.5.0.** \n**Ready for direct paste, o3-run, or build as canonical law.**\n\n---\n\n# 💊 **DØPEMÜX-☠️ULTRASLICER☠️—TFE-METAFILE.dmpx** \n*(Additions/updates",dopemux_voice_input/conversations/6853f191-9014-8006-9f64-6cee49ad227e__Ultraslicer Overview.json:L2735-L2735,naming,anti-fluff|forensic|punitive|procedural
