logical_operation,fastmcp_name,jsonrpc_method,rest_method,rest_path,equivalence_confidence,notes
get_context,get_context,conport_get_context,GET,/api/context/{workspace_id},HIGH,Fully equivalent across all three surfaces.
update_context,update_context,conport_update_context,POST,/api/context/{workspace_id},HIGH,Fully equivalent across all three surfaces.
log_decision,log_decision,conport_log_decision,POST,/api/decisions,HIGH,Wrapper drift repaired and REST remains source contract.
get_decisions,get_decisions,conport_get_decisions,GET,/api/decisions,HIGH,Fully equivalent across all three surfaces.
log_progress,log_progress,conport_log_progress,POST,/api/progress,HIGH,Wrapper drift repaired and REST remains source contract.
get_progress,get_progress,conport_get_progress,GET,/api/progress,HIGH,Fully equivalent across all three surfaces.
update_progress,update_progress,conport_update_progress,PUT,/api/progress/{progress_id},HIGH,Semantic parity across all three surfaces.
get_recent_activity,get_recent_activity,conport_get_recent_activity,GET,/api/recent-activity/{workspace_id},HIGH,Fully equivalent across all three surfaces.
get_active_work,get_active_work,conport_get_active_work,GET,/api/active-work/{workspace_id},HIGH,Fully equivalent across all three surfaces.
search_content,MISSING,conport_search_content,GET,/api/search/{workspace_id},PARTIAL,FastMCP missing and JSON-RPC undiscoverable.
workspace_summary,workspace_summary,MISSING,GET,/api/workspace-summary,PARTIAL,JSON-RPC parity remains incomplete.
unified_search,MISSING,MISSING,GET,/api/unified-search,REST_ONLY,Phase 2 route remains REST-only.
workspace_relationships,MISSING,MISSING,GET,/api/workspace-relationships,REST_ONLY,Phase 2 route remains REST-only.
save_custom_data,MISSING,MISSING,POST,/api/custom_data,REST_ONLY,REST-only for now.
get_custom_data,MISSING,MISSING,GET,/api/custom_data,REST_ONLY,REST-only for now.
delete_custom_data,MISSING,MISSING,DELETE,/api/custom_data,REST_ONLY,REST-only for now.
fork_instance,fork_instance,conport_fork_instance,POST,/api/instance/fork,HIGH,Fully equivalent but retained as internal/admin-only.
promote_progress,promote,conport_promote,POST,/api/progress/promote,HIGH,Fully equivalent but retained as internal/admin-only.
promote_all,promote_all,conport_promote_all,POST,/api/progress/promote_all,HIGH,Fully equivalent but retained as internal/admin-only.
health_check,MISSING,MISSING,GET,/health,REST_ONLY,System endpoint not part of PM-plane contract.
metrics,MISSING,MISSING,GET,/metrics,REST_ONLY,System endpoint not part of PM-plane contract.
