component_id	name	subsystem_id	container_name	purpose	public_interfaces	data_owned	dependencies	tech	stack	repo	owner	slo_availability	slo_latency	sli_metrics	alerts	security_notes	threat_model_refs	adr_ids	rfc_ids	source_uri	source_lines	created_at	updated_at	tags
COMP-3-voyage-rerank-2-5-	3. Voyage Rerank-2.5 vs Alternatives	SUB-3-AI-POWERED-TO		"**Query for ChatGPT**:
```
Research: Voyage rerank-2.5 vs competitors for code+documentation reranking

Requirements:
- Cost per 1M tokens comparison across reranking services
- Quality metrics (MRR, "	reliability; rate limits, reliability, and SLA guarantees; documentation and pricing pages (2024-2025)	table: with usage scenarios					Engineering Team	99.9%	P50<50ms; P99<300ms	ms, latency, (MRR, NDCG@10) on technical content benchmarks						docs/chatgpt-deep-research-queries.md	1-50	2025-10-02T03:01:42.344290	2025-10-02T03:01:42.344292	performance|api|testing
COMP-4-metamcp-security-a	4. MetaMCP Security and Workspace Configuration	SUB-2-SERVICE-LOOKU		"**Query for ChatGPT**:
```
Research: MetaMCP production deployment patterns and security best practices

Requirements:
- Workspace isolation mechanisms and role-based access control
- Authentication p"	keys, JWT, OAuth integration; keys					sitories	Engineering Team	99.9%	P50<50ms; P99<300ms	ms		model: client authentication, tool access authorization; considerations; best practices for MCP server deployments				docs/chatgpt-deep-research-queries.md	1-42	2025-10-02T03:01:42.345880	2025-10-02T03:01:42.345882	performance|api|security
COMP-5-claude-code-deskto	5. Claude Code Desktop Extensions and MCP Integration	SUB-2-SERVICE-LOOKU		"**Query for ChatGPT**:
````
Research: Claude Code Desktop Extensions and MCP server packaging

Requirements:
- Best practices for one-click MCP server installation in Claude Code
- Desktop Extension d"	for MCP server management						Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/chatgpt-deep-research-queries.md	1-42	2025-10-02T03:01:42.347422	2025-10-02T03:01:42.347424	api|architecture
COMP-7-leantime-api-and-w	7. Leantime API and Webhook Integration Patterns	SUB-QUERY-EXISTING-		"**Query for ChatGPT**:
```
Research: Leantime API capabilities and webhook patterns for bidirectional sync

Requirements:
- Complete API coverage: tasks, projects, users, milestones
- Webhook reliabil"	REST: API completeness vs UI feature parity; capabilities and webhook patterns for bidirectional sync; coverage: tasks, projects, users, milestones	database: s, Database: schema insights for direct integration options				Hub	Engineering Team	99.9%	P50<50ms; P99<300ms	ms		authentication				docs/chatgpt-deep-research-queries.md	1-36	2025-10-02T03:01:42.349135	2025-10-02T03:01:42.349136	database|api|performance|architecture
COMP-later	Later			"6. **Task-Orchestrator** - Optimization and customization
7. **Leantime API** - Integration completeness"	** - Integration completeness						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/chatgpt-deep-research-queries.md	1-3	2025-10-02T03:01:42.349916	2025-10-02T03:01:42.349917	api
COMP-new-adhd-specific-en	New ADHD-Specific Endpoints	SUB-QUERY-EXISTING-		"- `GET /api/recent-activity/{workspace_id}` - Quick interruption recovery
- `GET /api/active-work/{workspace_id}` - Priority-sorted focus optimization
- `GET /api/search/{workspace_id}` - Full-text se"	/recent-activity/{workspace_id}` - Quick interruption recovery; /active-work/{workspace_id}` - Priority-sorted focus optimization; /search/{workspace_id}` - Full-text semantic search						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/CONPORT_ENHANCED_IMPLEMENTATION_SUMMARY.md	1-5	2025-10-02T03:01:42.355451	2025-10-02T03:01:42.355452	api
COMP-concurrency-testing	Concurrency Testing			"- **10 Concurrent Requests**: All completed successfully without errors
- **Auto-Save + API Requests**: No blocking or performance degradation
- **Database Pool**: Connection pooling handled multiple "	Requests**: No blocking or performance degradation	Database: Pool**: Connection pooling handled multiple simultaneous queries					Engineering Team	99.9%	P50<50ms; P99<300ms							docs/CONPORT_ENHANCED_IMPLEMENTATION_SUMMARY.md	1-4	2025-10-02T03:01:42.356519	2025-10-02T03:01:42.356520	database|api|performance
COMP-auto-save-validation	Auto-Save Validation			"- **Auto-Save Loop**: Active every 30 seconds
- **Background Operation**: Zero impact on API responsiveness
- **Data Safety**: No context loss during any operation
- **Timestamp Updates**: Automatic t"	responsiveness						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/CONPORT_ENHANCED_IMPLEMENTATION_SUMMARY.md	1-5	2025-10-02T03:01:42.356824	2025-10-02T03:01:42.356825	api
COMP-reference-documentat	Reference Documentation	SUB-COMPONENTS-REFE		"- **[ConPort API Reference](03-reference/conport-api-reference.md)**: Complete API documentation
- **[Database Schema Reference](03-reference/conport-database-schema.md)**: Schema details and examples"	Reference](03-reference/conport-api-reference.md)**: Complete API documentation	Database: Schema Reference](03-reference/conport-database-schema.md)**: Schema details and examples					Engineering Team	99.9%	P50<50ms; P99<300ms							docs/CONPORT_ENHANCED_IMPLEMENTATION_SUMMARY.md	1-3	2025-10-02T03:01:42.357525	2025-10-02T03:01:42.357526	database|api
COMP-operational-readines	Operational Readiness ✅			"- **Documentation**: Complete technical documentation and deployment guides
- **API Stability**: Stable APIs with comprehensive error handling
- **Scalability**: Tested with concurrent users and high-"	Stability**: Stable APIs with comprehensive error handling	table: APIs with comprehensive error handling					Engineering Team	99.9%	P50<50ms; P99<300ms							docs/SERENA_V2_TARGET_ACHIEVEMENT_VALIDATION.md	1-5	2025-10-02T03:01:42.377355	2025-10-02T03:01:42.377356	api
