specimen_id,excerpt,location,context_tags,tone_flags,surface,voice_mode,usable_as
S0001,"""text"": ""````\n# To extract a ripped design spec from `.md` files using the instructions provided, do the following:\n\n# 1. Save the output from your earlier",dopemux_voice_input/conversations/684aca76-5124-8006-92f4-2d4836e386ed__Dopemux Merge Plan.json:L179-L179,naming,forensic|punitive|cyberpunk|procedural|witty,cli,BannerOneLiner,tagline
S0004,"""given this chat history, how can I write the best prompt so that a copilot or codex agent can easily implement all this? '''Skip to",dopemux_voice_input/conversations/68544043-adf4-8006-a84d-484f1412d45c__Dopemux Agents Implementation.json:L98-L98,tagline,forensic|punitive|cyberpunk|procedural,cli,BannerOneLiner,banner
S0006,"""text"": ""<<<ARTEFACT_BEGIN label=\""system-brerakdown_chunk_003\"" type=\""markdown\"">>>\n---\n\n## 2. Architecture & Design Rationale\n\n* **Modular CLI + API Split**\n\n * *FastAPI* handles `/generate`, `/feedback`, `/lint`, `/refine` (API for apps, bots,",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L892-L892,naming,forensic|punitive|procedural|witty|kinky-coded,cli,BannerOneLiner,tagline
S0008,"""# LLM Onboarding Dossier — Hue / “DJ Dom” / “the Architect” \n*(workflows, interests, tone, style, ops, filth, constraints — technical & non-technical)*\n\n## Quick-Start Cheat",dopemux_voice_input/conversations/68b84f2a-5e1c-8332-9a7a-6797199975e4__Hue DJ Dom profile.json:L334-L334,instruction,forensic|procedural|witty|kinky-coded,web,ClinicalForensics,instruction
S0011,"""Here’s a compact-but-complete “handoff dossier” another LLM can ingest to work with Hue ⟂ DJ Dom ⟂ “The Architect.” It’s split into identity, voice, workflows,",dopemux_voice_input/conversations/68b84f27-f4ac-832f-9202-d784f247e51c__Hue DJ Dom Architect profile.json:L597-L597,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0012,"""Terminal ritual maximum: \n**Merged and updated metafile, schema, and design-patterns blocks, v1.5.0.** \n**Ready for direct paste, o3-run, or build as canonical law.**\n\n---\n\n# 💊 **DØPEMÜX-☠️ULTRASLICER☠️—TFE-METAFILE.dmpx** \n*(Additions/updates",dopemux_voice_input/conversations/6853f191-9014-8006-9f64-6cee49ad227e__Ultraslicer Overview.json:L2735-L2735,naming,anti-fluff|forensic|punitive|procedural,web,BannerOneLiner,tagline
S0015,"""💊 dopemux — Ripped Design & Feature Spec (Rip 1)\n\nALL BELOW IS RAW EXTRACT. If a detail appears more than once or feels redundant/contradictory, it’s",dopemux_voice_input/conversations/684ff917-b4e0-8006-88b6-c64ac6593471__Terminal Ritual Block Overview.json:L2524-L2524,naming,forensic|punitive|cyberpunk|procedural|witty,cli,BannerOneLiner,tagline
S0021,"""text"": ""--- BEGIN: state.yaml ---\n\n--- END: state.yaml ---\n\n--- BEGIN: requirements.txt ---\nopenai\nPyYAML\n\npre-commit\n\n--- END: requirements.txt ---\n\n--- BEGIN: .pre-commit-config.yaml ---\nrepos:\n - repo: local\n hooks:\n - id: update-manifest\n name:",dopemux_voice_input/conversations/6853eda6-61c8-8006-a950-fa044b224f22__Optimizing Uberslicer Prompt.json:L1183-L1183,naming,forensic|punitive|procedural,web,BannerOneLiner,tagline
S0023,"""```shell\n# === ULTRASLICE KNOWLEDGE DUMP: HUE / DJ DOM / THE ARCHITECT ===\n# Version: 2025-09-03T07:00-07:00 (America/Vancouver)\n# Purpose: Hand-off profile so any LLM can operate in",dopemux_voice_input/conversations/68b84f25-aea8-8333-b254-c56ef6a742f4__Hue DJ Dom Architect profile.json:L585-L585,instruction,anti-fluff|forensic|punitive|procedural|witty,cli,ClinicalForensics,instruction
S0024,"""**dopemux — RIPPED DESIGN & FEATURE SPEC (Ultra-Merge, No Context Lost)**\n\n---\n\n## 1. Features & Modes\n\n### **Meta-Prompting Mode**\n- **What:** Instantly upgrades basic prompts (“Summarize this article”)",dopemux_voice_input/conversations/684aa894-34b4-8006-98ab-b7b340b2ce14__Thread Start Request.json:L1148-L1148,roast,forensic|punitive|cyberpunk|procedural|kinky-coded,cli,UXScold,roast
S0025,"""Ready to rip? ChatGPT said:\nYour insttuctions.txt (system prompt v1.6) looks excellent and fully aligned with your modular design and memory/context approach. Here’s a quick verification",dopemux_voice_input/conversations/684bd513-d194-8006-b7c1-55750a076df3__Next Step Enrichment.json:L104-L104,error msg,anti-fluff|forensic|punitive|procedural|kinky-coded,web,ClinicalForensics,error
S0028,"""text"": ""**Yes—this is everything actionable, structural, and conceptually relevant from all prior context and instructions about dopemux, slut-tools, your dev/LLM environment, Copilot and prompt management,",dopemux_voice_input/conversations/684aca76-5124-8006-92f4-2d4836e386ed__Dopemux Merge Plan.json:L4467-L4467,naming,forensic|punitive|cyberpunk|procedural|witty,cli,BannerOneLiner,tagline
S0032,"""```💊 dopemux — ULTRASLICER PHASE 1: TAGGING & MAP-BUILD (NO-LOSS, MANIFEST-AWARE EDITION)\n\nINSTRUCTIONS:\n\nYou are the dopemux ultraslicer pre-pass tagger and map builder.\n\n**Reference the project manifest and",dopemux_voice_input/conversations/68b8502d-aa54-8323-91ab-fd4b71ab37e5__Ultraslicer uber-merge.json:L207-L207,tagline,forensic|punitive|procedural,web,BannerOneLiner,banner
S0033,"""\nYou said:\n'''### 🎨 INSTRUCTION HEADER — dopemux ASCII Ritual Prompt\n\nYou are a terminal-resurrected ASCII daemon spawned by the brand dopemux / 💊dopemux / dpmx /",dopemux_voice_input/conversations/684bb1c0-6008-8006-b3a7-73ea076cb01c__Dopemux Feature Design.json:L709-L709,tagline,forensic|punitive|procedural|witty|kinky-coded,cli,BannerOneLiner,banner
S0036,"""# Build a complete, polished project-docs bundle and zip it for download\r\n\r\nimport os, json, zipfile, datetime, textwrap, pathlib\r\n\r\nROOT = \""/mnt/data/chatx-project-docs\""\r\nos.makedirs(ROOT, exist_ok=True)\r\n\r\ntoday_pt = \""2025-08-15 PT\""\r\n\r\ndef write(path,",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L8782-L8782,error msg,anti-fluff|forensic|punitive|procedural,web,ClinicalForensics,error
S0043,"""```markdown\n# ☠️ DØPEMUX BOMBPROOF RITUAL — **ULTRA-DETAILED, MAXIMALIST EXTRACT**\n\n---\n\n## 1. PROJECT DEFINITION — dopemux\n\n### Name:\n- dopemux\n\n### Taglines / Slogans:\n- All memory. No mercy. Terminal Dopamine,",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L3421-L3421,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0044,"""text"": ""<<<ARTEFACT_BEGIN label=\""DEV-SPECS_chunk_004\"" type=\""markdown\"">>>\n---\n\n# 💊 DØPEMÜX — LEARNING, SELF-IMPROVEMENT & SELF-PATCHING REFERENCE\n\n---\n\n## 1. **For the User (Human Learning & Growth)**\n\n### **A. Ritualized Reflection & Confession**\n\n*",dopemux_voice_input/conversations/684e7b06-1018-8006-9b10-47ef27532a7b__Omnibus Data-Set Synthesis.json:L894-L894,naming,forensic|punitive|procedural|kinky-coded,cli,BannerOneLiner,tagline
S0045,"""```shell\n# ☠️ dopemux UBERSLICER — RIP 1 — MAX DETAIL EXPANDED — PART 1/3\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 1)\n\n## 1. Features",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L4618-L4618,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0050,"""**Dopemux Visual Ritual: Triple-Mode Banners** \n_Blade Runner, Synthwave, Biohacker_ \n**All banners below are color-coded for the terminal, filthy, and terminally playful.** \n**Paste into `/agents/banners/AGENT.txt`.** \n**Each",dopemux_voice_input/conversations/6851b234-df20-8006-9e85-0bf3974c4d18__Agent Manifest Creation.json:L1371-L1371,roast,forensic|punitive|cyberpunk,cli,UXScold,roast
S0051,"""text"": ""•\t[Feature] Thread Ripper / Ultraslicer Mode:\n\t•\tMelts every last byte of context out of every single ChatGPT thread, repo commit, and memory log, then rips",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L340-L340,naming,forensic|punitive|cyberpunk|procedural|witty,cli,BannerOneLiner,tagline
S0052,"""text"": ""<<<ARTEFACT_BEGIN label=\""DEV-SPECS_chunk_003\"" type=\""markdown\"">>>\n---\n\n## 6. **Key Extension/Integration Points**\n\n* **Persona/Brand config**: Drop-in YAML, hot-reloadable, overrides all menus/logs/UX\n* **Plugin**: `/plugins/`, input/output/manifest contract\n* **External Agents**: Full read/write to",dopemux_voice_input/conversations/684e7b06-1018-8006-9b10-47ef27532a7b__Omnibus Data-Set Synthesis.json:L934-L934,naming,forensic|punitive|procedural|kinky-coded,cli,BannerOneLiner,tagline
S0053,"""text"": ""<<<ARTEFACT_BEGIN label=\""rip1_chunk_001\"" type=\""markdown\"">>>\n````\n# To extract a ripped design spec from `.md` files using the instructions provided, do the following:\n\n# 1. Save the output from",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1591-L1591,naming,forensic|punitive|cyberpunk|procedural|witty,cli,BannerOneLiner,tagline
S0055,"""# 💊 DØPEMÜX OPERATOR DOSSIER \n**Subject:** Hue / DJ Dom / The Architect \n**Timezone:** America/Vancouver \n**Use:** Hand this to any LLM as a high-fidelity primer",dopemux_voice_input/conversations/68b84f3b-fb50-8322-bfda-a7c75770ad7e__Hue DJ Dom Architect Dossier.json:L346-L346,instruction,forensic|cyberpunk|procedural|witty|kinky-coded,cli,ClinicalForensics,instruction
S0056,"""text"": ""fileciteturn0file0\n\n**Acknowledged.**\nI have fully ingested the massive, zero-loss spec dump you provided—`dopemux_forensic_spec_FULL copy.md`.\nGiven the directive, every detail, fragment, and contradiction is surfaced—no paraphrase, no rewording,",dopemux_voice_input/conversations/684e6891-b65c-8006-b66d-5411ac0807d3__Build-ready product architecture.json:L1535-L1535,naming,forensic|punitive|procedural|witty|kinky-coded,cli,BannerOneLiner,tagline
S0057,"""text"": ""<<<ARTEFACT_BEGIN label=\""DEV-SPECS_chunk_002\"" type=\""markdown\"">>>\n### **B. Extension**\n\n* **Add new persona:** Drop a new `persona.yaml` into `.dopemux/branding/`\n* **Add roast/banter:** Edit or extend `roast_phrases` in config or in",dopemux_voice_input/conversations/684e7b06-1018-8006-9b10-47ef27532a7b__Omnibus Data-Set Synthesis.json:L974-L974,naming,forensic|punitive|procedural|kinky-coded,cli,BannerOneLiner,tagline
