surface,classification,canonical_backend,policy_wrapping,to_adjudication_required,adapter_only_mediation_allowed,notes
pm_get_project_context,safe_read_only,ConPort,no,no,n/a,Read-only normalized context surface.
pm_get_priority_queue,safe_read_only,Task Orchestrator,no,n/a,n/a,Read-only workflow queue surface.
pm_get_blockers,safe_read_only,Task Orchestrator,no,n/a,n/a,Read-only blocker surface.
pm_get_workflow_state,safe_read_only,Task Orchestrator,no,n/a,n/a,Read-only workflow legality surface.
pm_update_work_item,policy_wrapped_write,Leantime,mandatory,only when payload becomes workflow-significant,yes,Reject status or transition writes unless separately adjudicated.
pm_transition_work_item,policy_wrapped_write,Task Orchestrator,mandatory,yes,yes,Must fail closed while active TO runtime lacks direct project-scoped transition surface.
pm_get_sprint_snapshot,safe_read_only,Leantime,no,no,n/a,Read-only PM snapshot.
pm_get_decision_context,safe_read_only,ConPort,no,no,n/a,Read-only durable context surface.
pm_log_progress,policy_wrapped_write,ConPort,mandatory,no,yes,Durable progress write resolves to ConPort.
pm_get_work_chronicle,safe_read_only,dope-memory,no,no,n/a,Read-only chronicle surface.
pm_search_project_knowledge,safe_read_only,dope-context,no,no,n/a,Read-only search surface with provenance.
pm_get_technical_context,safe_read_only,Serena,no,no,n/a,Read-only technical context surface.
raw Leantime JSON-RPC methods,never_expose_directly,Leantime,n/a,n/a,adapter-only,Agents should be Leantime-backed not Leantime-shaped.
raw Task Orchestrator MCP/HTTP methods,never_expose_directly,Task Orchestrator,n/a,n/a,adapter-only,Backend-native workflow methods are internal seams.
ConPort REST/JSON-RPC/FastMCP method names,never_expose_directly,ConPort,n/a,n/a,adapter-only,ConPort is authoritative but the PM-plane contract stays backend-agnostic.
dope-memory HTTP tool names,never_expose_directly,dope-memory,n/a,n/a,adapter-only,Chronicle backend contract is internal to PM-plane composition.
dope-context backend-native search methods,never_expose_directly,dope-context,n/a,n/a,adapter-only,Retrieval results require PM-plane provenance normalization.
Serena backend-native methods,never_expose_directly,Serena,n/a,n/a,adapter-only,Technical context must be normalized before PM-plane exposure.
