from_id	from_type	to_id	to_type	relation	rationale	confidence
RS-89875703	Research	FEAT-062B	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-139D	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-34C0	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-560D	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-8B50	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-3EA2	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-B93E	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-013D	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-84D8	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-9370	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-A79A	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-109D	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-473A	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-3B22	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-448E	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-00CF	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-1108	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-11EC	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-5C94	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-EF2A	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-30FB	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-4C5E	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-6025	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	FEAT-A79F	Feature	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-t	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-3-1-complex-problem-	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-mcp-servers-availabl	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-expected-performance	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-13-expand-task-expan	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-primary-interaction-	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-d8f9eb09	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-current-development-	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-market-risks	Component	informs	Research provides relevant context	0.68
RS-89875703	Research	COMP-c94b0a37	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-05F0	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-C59E	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-77F5	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-EAF4	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-454C	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-4FD1	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-5C6F	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-34C0	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-B904	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-94F1	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-F2F2	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-C97B	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-89B7	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-89AA	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-F00B	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-F30F	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-4A53	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-9A5B	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-39DA	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-FAA0	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-4432	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-3EA2	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-EC9C	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-804A	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-F46B	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-6CA7	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-B762	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-001C	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-DADE	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-F40C	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-CB49	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-80B0	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-A146	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-6D19	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-9958	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-8A01	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-E214	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-01CB	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-E215	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-9714	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-5C7C	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-490A	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-AE58	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-9370	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-A79A	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-BD58	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-F4A1	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-0383	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-4B58	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-86CC	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-8C07	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-58D2	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-1BA7	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-AEF3	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-1F2E	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-3B22	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-DBCC	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-DC27	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-448E	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-073F	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-78FB	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-267C	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-294E	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-5B72	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-2309	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-8333	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-EDE9	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-EF05	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-11EC	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-5A0D	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-E244	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-6025	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-7288	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	FEAT-974B	Feature	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-claude-context-magic	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-15b0f445	Component	informs	Research provides relevant context	0.68
