component_id	name	evidence_incoming
COMP-what-you-ll-learn	What You'll Learn	592
COMP-2-leantime-adhd-feat	2. Leantime ADHD Features and API Coverage	579
COMP-success-criteria	Success Criteria	563
COMP-1-core-business-goal	1. Core Business Goals & User Problems	556
COMP-use-cases	🎯 Use Cases	549
COMP-phase-4-monitoring-r	Phase 4: Monitoring & Reliability (Week 4)	544
COMP-3-7-category-7-integ	3.7 Category 7: Integration & Deployment	529
COMP-1-fixed-voyageai-int	1. **Fixed VoyageAI Integration**	523
COMP-with-conport	With ConPort	523
COMP-9-superclaude-comman	9. SuperClaude Command Pattern Analysis	522
COMP-impact	**Impact**:	520
COMP-2-integration-framew	2. Integration Framework	519
COMP-api-key-auth-trouble	🔧 API Key Auth Troubleshooting	512
COMP-4-integration-bridge	4. Integration Bridge	504
COMP-mcp-server-classific	MCP Server Classification System:	498
COMP-9-zed-acp-integratio	9. Zed ACP Integration Patterns	495
COMP-project-context-flow	Project context flows through vector databases	495
COMP-risks-and-mitigation	Risks and Mitigations	493
COMP-terminal-multiplexin	Terminal Multiplexing Interface	492
COMP-with-existing-system	With Existing Systems	492
COMP-3-orchestration-laye	3. Orchestration Layer	491
COMP-advantages-of-letta-	Advantages of Letta Framework:	491
COMP-memory-augmentation	Memory Augmentation	489
COMP-phase-3-advanced-fea	Phase 3: Advanced Features (Architecture Supports)	489
COMP-week-7-slash-command	Week 7: Slash Command Implementation	488
COMP-comprehensive-health	**🏥 Comprehensive Health Monitoring**	486
COMP-integration-tests	Integration Tests	484
COMP-leantime-bridge-src-	Leantime Bridge (`src/integrations/leantime_bridge.py`)	482
COMP-1-login-and-initial-	1. Login and Initial Configuration	481
COMP-5-claude-code-deskto	5. Claude Code Desktop Extensions and MCP Integration	479
COMP-18-progressive-discl	18. Progressive Disclosure Interface Patterns	476
COMP-optimization-researc	Optimization Research (Enhancement)	473
COMP-user-interface	User Interface	472
COMP-mitigation	Mitigation	470
COMP-assumptions-new-upda	Assumptions (new/updated)	465
COMP-metamcp-endpoint	🌐 **MetaMCP Endpoint**	465
COMP-key-features	Key Features:	461
COMP-why-leantime	Why Leantime?	460
COMP-integration-status	**Integration Status**	458
COMP-implementation-statu	🎯 **Implementation Status**	457
COMP-3-key-findings-data	3. Key Findings & Data	456
COMP-current-status	**Current Status**:	455
COMP-7-leantime-api-and-w	7. Leantime API and Webhook Integration Patterns	453
COMP-ai-assistant-windows	AI Assistant Windows	451
COMP-context7-documentati	Context7 (Documentation Authority)	451
COMP-start-the-server	Start the server	451
COMP-configuration-notes	Configuration Notes	448
COMP-4-conclusions-implic	4. Conclusions & Implications	447
COMP-ai-llm-services	**AI/LLM Services**	446
COMP-essential-context-qu	Essential Context Questions	446
