pr_number,title,head_ref,head_sha,author,is_draft,review_decision,file_count,aggregate_changed_files,reconciled,disposition,url
1113,deps(deps): bump next from 15.5.18 to 15.5.21,dependabot/npm_and_yarn/next-15.5.21,bf6cf155d1ad764f8a9479f0988bc3066a5ceb24,app/dependabot,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1113
1115,fix(security): bump pyasn1 to 0.6.4 (recreates #1090 on current main),fix/security-pyasn1-0.6.4-current-main,396c32013ea91552d08677b245c1b5739b2d2264,hu3mann,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1115
1117,"fix(deps): consolidate safe UI patch dependencies (#1094, #1108, #1109)",fix/ui-dashboard-deps-consolidation,350123f5bb058e5f195349f0197a128416392201,hu3mann,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1117
1118,fix(ci): align container build matrix for adhd-dashboard (recreates #1107),fix/container-ci-matrix-adhd-dashboard,d13b4aacc9765384e598ef950bb4c9acd9954697,hu3mann,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1118
1123,fix(rte): R3-009/R3-010 F-30 boundary + F-23 residual closure (v5),claude/rte-audit-improvement-f4beb7,0181fc9e8bd79b208a1f25cf56db757b90a080a4,hu3mann,False,NONE,16205,16206,False,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1123
1127,docs(ltaip): import full macro-packet series and load-plan artifacts,docs/ltaip-full-packet-import,5bcadcb59427a5f1094d3bc0ed0e94de9ed9a74f,hu3mann,False,NONE,34,34,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1127
1128,feat(mcp): profile-selected tool plane and repo-domain read contract,feat/TP-DMX-MCPPROF-001-profiled-tool-plane,e41d134b5b0f32b5475ab5f094274bfac2259601,hu3mann,False,NONE,40,40,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1128
1136,refactor(rte): RTE-TRUTH audit + remediation waves R0/R1/R3/R4,claude/rte-truth-program,df25e44b4ef320f7813249a9fcbd234cfdd413e0,hu3mann,False,NONE,368,368,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1136
1137,DMX-DCP-MODEL-ROUTING-MVP-0000R: Current-Main Runtime and Toolchain Reconciliation,dcp/model-routing-0000r-runtime-reconcile,f585d7e271e43c4996244f41c6e9ec44ed79fc4c,hu3mann,True,NONE,75,75,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1137
1138,DMX-DCP-MODEL-ROUTING-MVP-0000S: Series lineage and authority map,dcp/model-routing-0000s-series-lineage,7e4bc6359cfc8efc58adb0ba8fbc1f59ee8a5805,hu3mann,True,NONE,89,89,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1138
