mutation,canonical_writer,required_precheck,allowed_secondary_writer,mirror_target,reconciliation_required,forbidden_direct_path,notes
create_work_item,Leantime,PM policy validation,"dopecon-bridge (policy-wrapped proxy only)","ConPort for durable links; dope-memory for chronicle if emitted",yes,"dopecon-bridge -> TaskRecord local truth; Task Orchestrator -> PM record creation without Leantime reflection",Canonical PM entity creation resolves to Leantime.
update_pm_metadata,Leantime,PM policy validation,"dopecon-bridge (policy-wrapped proxy only)",ConPort if metadata must become durable context,yes,"direct ConPort overwrite of PM fields; bridge-local metadata shadow as source of truth",Safe only for non-workflow PM fields.
transition_workflow_state,Task Orchestrator,Task Orchestrator workflow legality check,"dopecon-bridge (routing only)","Leantime reflection after adjudication; dope-memory chronicle event",yes,"Leantime status change as workflow law; bridge-local status mutation; ConPort progress entry as workflow transition",Workflow-significant writes must be adjudicated before Leantime reflection.
block_unblock_work_item,Task Orchestrator,Task Orchestrator blocker/dependency check,"dopecon-bridge (routing only)","Leantime reflection; ConPort contextual note; dope-memory chronicle event",yes,"Leantime blocker field as canonical workflow truth; bridge-local next-action/blocker state",Block/unblock is workflow authority.
attach_decision,ConPort,ConPort schema/object validation,"dopecon-bridge (proxy only)","Leantime link/reference only; dope-memory decision-linked chronicle reference",yes,"dopecon-bridge local DDG decision tables; dope-memory as canonical decision store",Decision identity and durable semantics stay in ConPort.
log_progress,ConPort,ConPort progress validation,"dopecon-bridge (proxy only)","Leantime read-only reflection if needed; dope-memory chronicle event",yes,"Leantime comments/status as canonical progress; bridge-local DDG progress; dope-memory as canonical progress store",Progress truth resolves to ConPort.
emit_chronicle_event,dope-memory,dope-memory chronicle write validation,"dopecon-bridge (event transport only)","ConPort references only when linked; retrieval indexing later via dope-context",no,"ConPort as chronicle store; Leantime text fields as chronicle authority; bridge event stream as durable truth",Chronicle writes remain inside dope-memory authority.
mirror_workflow_outcome_into_leantime,Leantime,Task Orchestrator adjudication must already exist,"dopecon-bridge (policy-wrapped proxy only)",none,yes,"direct Leantime status mutation without Task Orchestrator decision; bridge-local state copied into Leantime",Mirror only and never standalone workflow authority.
attach_technical_context,ConPort,ConPort durable-context validation,"Serena as supporting producer; dopecon-bridge as proxy",Leantime link/reference only,yes,"Serena direct durable-context authority; dope-memory durable technical context as source of truth",Serena remains technical context plane while durable attachment resolves to ConPort.
attach_retrieval_search_metadata,ConPort,ConPort durable-context validation,"dope-context as supporting producer; dopecon-bridge as proxy",Leantime link/reference only,yes,"dope-context index metadata treated as canonical context; bridge-local search cache as source of truth",Retrieval evidence may support the write but durable attachment resolves to ConPort.
