db_slug,schema_class,table_count,schema_sha256
adops-78854735f2d1eae5,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
code-7a0619e5c9daa92b,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
design-system-c5d7abbbc5308887,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
djdom-generator-6fa2dd66f9875f43,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
djdom.vip-16eeb6ab0e1fc1fb,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
dnh-design-system-7ec76f511376d55b,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
dnh_crm-86a8581e0d29956a,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dnh_crm-91b6ab42d465b1df,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dnh_crm-93f2e708ffe5d917,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dnh_crm-9a4e9aa8a329cdd5,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
dnh_crm-dfd57cc28acc8173,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dnh_crm__recovery_20260504t060227z-057a631f251d291a,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dnh_crm__recovery_20260504t060227z-364b7472ece807d7,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dom-holly-chaturbate-automation-build-f26a0ae16e19f454,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dope-arch-investigation-43f7c62ef5b91aea,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dopemux-mvp-00c48dc6c9423ff6,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dopemux-mvp-143c9b6ca1943ff2,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dopemux-mvp-2e346e2084bca021,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
dopemux-mvp-39f7161d1e4d1724,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dopemux-mvp-76b731e4c7930ae9,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dopemux-mvp-d288d32dab57ab1d,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dopemux-mvp-e68cb90b39feb589,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
dopetask-f4a80fda7c6159f2,legacy,5,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1
firestick-control-a3fce4918082f41f,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
openclaw_marketplace_agent_docs-93c97c3f69eb862b,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
task-orchestrator-af31f83cb7431f83,modern,25,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa
